Total,1,2,3,4,5,6,7,8,9,10
2,0.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
10,0.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,0.1275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,0.4875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,0.9175,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
6,0.07,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,0.52,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,0.68,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
1,0.07,1.0575,0.84,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,0.07,1.0575,1.05,0.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,0.0525,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,0.1125,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,0.4425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,0.7325,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,1.0425,0.04,1.0325,0.1775,1.03,1.06,1.035
2,0.07,1.0575,1.05,1.0425,0.04,1.0325,1.0375,1.03,0.06,1.035
6,0.07,1.0575,1.05,1.0425,0.04,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,1.0425,0.92,1.0325,1.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,1.0425,1.04,0.0325,1.0375,1.03,1.06,1.035
3,0.07,1.0575,1.05,1.0425,1.04,1.0325,0.0375,1.03,1.06,1.035
1,0.07,1.0575,1.05,1.0425,1.04,1.0325,1.0375,0.03,1.06,0.225
3,0.07,1.0575,1.05,1.0425,1.04,1.0325,1.0375,0.03,1.06,1.035
1,0.07,1.0575,1.05,1.0425,1.04,1.0325,1.0375,0.34,1.06,1.035
